"CWE-ID","Project","Commit"
"CWE-310","commons-compress","6e95697e783767f3549f00d7d2e1b002eac4a3d4"
"CWE-94","struts","7e6f641ebb142663cbd1653dc49bed725edf7f56"
"CWE-502","ignite","82a7b8209fcf56971d12cb10410a38ed632215b"
"CWE-863","geode","aa469239860778eb46e09dd7b390aee08f152480"
"CWE-399","httpcomponents-client","09027e7286974bf6b61f4106395da2623121db8d"
"CWE-79","activemq","51eb87a84be88d28383ea48f6e341ffe1203c5ba"
"CWE-287","kafka","47c2753496875db2849065ad91ee03c7c842c8e"
"CWE-400","undertow","882d5884f2614944a0c2ae69bafd9d13bfc5b64"
"CWE-863","geode","6df14c8b1e3c644f9f810149e80bba0c2f073dab"
"CWE-20","tomcat","1d372c881eafd9ffe729996f8560fd5fe50cd39d"
"CWE-362","hbase","30e98b4455f971c9cb3c02ac7b2daeebe4ee6f2"
"CWE-20","struts","a0fdca138feec2c2e94eb75ca1f8b76678b4d152"
"CWE-835","netty","524156f164a910b8b0978d27a2c700a19cd8048"
"CWE-22","tomcat80","c15c2aba8eb42425f9ebcfcaef579dada38ad3a2"
"CWE-264","tomcat","299b26af66793438c323ea6b18462fa44683080f"
"CWE-20","struts","4a3917176de2df7f33a85511d067f31e50dcc1b"
"CWE-399","tomcat","b1c8477e3e3ee635d19cc4d5987c2b157431e0c1"
"CWE-203","jetty.project","042f325f1cd6e7891d72c7e668f5947b5457dc02"
"CWE-264_CWE-200","jboss-seam","090aa6252affc978a96c388e3fc2c1c2688d9bb5"
"CWE-200","tomcat","b9e06ead01984483af73f48e7861bc7897f5e84f"
"CWE-200","jenkins","6867e4469525d16319b1bae9c840b933fe4e23c4"
"CWE-200","tomcat","f5e06b8c743b1daa9eb5e817863958b6b320e044"
"CWE-264","uaa","1368817fe4f4899c06089c940830525bc0327ee"
"CWE-20","tomcat","d2e8f2ede7dea39f75f68384f331f38f094e4ed3"
"CWE-310","bc-java","413b42f4d770456508585c830cfcde95f9b0e93b"
"CWE-22","storm","0fc6b522487c061f89e8cdacf09f722d3f20589"
"CWE-611","lucene-solr","e21d4937e0637c7b7949ac463f331da9a42c07f"
"CWE-22","tomcat","7288bc70a14edcfeff0a96e333a858be374cfc64"
"CWE-611","lucene-solr","d8000beebfb13ba0b6e754f84c760e11592d8d1"
"CWE-74","groovy","09e9778e8a33052d8c27105aee5310649637233d"
"CWE-20","cxf","b4b9a010bb23059251400455afabddee15b46127"
"CWE-611","karaf","1ffa6d1c4555cab9737d76b49142528b57cfdfc"
"CWE-611","activemq-artemis","48d9951d879e0c8cbb59d4b64ab59d53ef88310d"
"CWE-22","tomcat","6b61911f94d6d8d49ee933c5f1882a7e7c336d2c"
"CWE-502","spring-amqp","83fe9fdec2c86a57898d56c5e109debd9d5c07d"
"CWE-200","tomcat80","ec10b8c785d1db91fe58946436f854dde04410fd"
"CWE-20","tomcat","d6a9898125f34e593de426e8c7dabb0f224fc00f"
"CWE-79","nifi","e62aa0252dfcf34dff0c3a9c51265b1d0f9dfc9f"
"CWE-20","tomcat","bed3a1a0d06a3c787183c6e90f326bbe17e49dd4"
"CWE-22","hadoop","eaa2b8035b584dfcf7c79a33484eb2dffd3fdb1"
"CWE-22","camel","a0d25d9582c6ee85e9567fa39413df0b4f02ef7"
"CWE-79","activemq","148ca81dcd8f14cfe2ff37012fd1aa42518f02dc"
"CWE-310","bc-java","413b42f4d770456508585c830cfcde95f9b0e93b"
"CWE-79","syncope","b25a8834db2cc7ea45707a1218e85e047568427"
"CWE-94","struts","7e6f641ebb142663cbd1653dc49bed725edf7f56"
"CWE-200","uaa","b599af2062aad5580661e035087fdd9bd266b92"
"CWE-502","ignite","340569b8f4e14a4cb61a9407ed2d9aa4a20bdf49"
"CWE-200","xstream","5b5cd6d8137f645c5d57b648afb1a305967aa7f"
"CWE-79","jolokia","5895d5c137c335e6b473e9dcb9baf748851bbc5f"
"CWE-19","camel","735ee02c693964b5f700af13a2adfeae56b848a4"
"CWE-264","tomcat","a2538ce78f83b7376c48d12d8247600079d789b1"
"CWE-502","camel","dcb5a74a3987d2264ad195c7844bbb6c81216610"
"CWE-22","DependencyCheck","c106ca919aa343b95cca0ffff0a0b5dc20b2baf7"
"CWE-552","spring-framework","2bd1daa75ee0b8ec33608ca6ab065ef3e1815543"
"CWE-502","bc-java","4092ede58da51af9a21e4825fbad0d9a3ef5a223"
"CWE-113","undertow","85d4478e598105fe94ac152d3e11e388374e8b8"
"CWE-863","geode","aa469239860778eb46e09dd7b390aee08f152480"
"CWE-22","tomcat80","2b643a4e36d318d55ec57fee57610671656d23c0"
"CWE-79","struts","5421930b49822606792f36653b17d3d95ef106f9"
"CWE-399","tomcat","b1c8477e3e3ee635d19cc4d5987c2b157431e0c1"
"CWE-863","geode","aa469239860778eb46e09dd7b390aee08f152480"
"CWE-863","geode","aa469239860778eb46e09dd7b390aee08f152480"
"CWE-79","struts","72471d7075681bea52046645ad7aa34e9c53751e"
"CWE-755","tomcat","4545dcce444aa619374a659cb450dbbd0be3c921"
"CWE-264","tomcat80","2e5cc28052e84ba45196949ba602484221bbf33c"
"CWE-19","camel","f7f0b18f6924fe0b01f32a25ed1e38e29b1bf8e5"
"CWE-1188","spring-webflow","084b4e711c126f7fbb628261e52e07ea85852117"
"CWE-362","hbase","625d4d002620139f49c8201f95b789b6a715cd4"
"CWE-264","hibernate-validator","c489416f699a46859c134796b3ccfea41ef3ce52"
"CWE-863","geode","aa469239860778eb46e09dd7b390aee08f152480"
"CWE-264","tomcat","50f1b1da794cd93b70ab5456d3c2c984408e1506"
"CWE-352","projectforge-webapp","422de35e3c3141e418a73bfb39b430d5fd74077e"
"CWE-200","activemq","d2e49be3a8f21d862726c1f6bc9e1caa6ee8b58"
"CWE-264","openjpa","4487017fbf57fb7aed4024e0991850bb89fc1c43"
"CWE-295","activemq","bde7097fb8173cf871827df7811b3865679b963d"
"CWE-352_CWE-20","struts","b28b78c062f0bf3c79793a25aab8c9b6c12bce6e"
"CWE-264","tomcat","90ec9675fa080e22df5f9e3e7019a19eb2faec14"
"CWE-310","tomcat55","359c7ee17f5759cc99988e1cc9e971fe4a6ffad5"
"CWE-79","activemq","9dc43f3ffe85c9c56faee235a21f23bfceb865c8"
"CWE-320","bc-java","1127131c89021612c6eefa26dbe5714c194e7495"
"CWE-287_CWE-264","tomcat55","644dfdf96cf82fcd2a2046d93f2b5495f7e94584"
"CWE-668","tomcat","6bb36dfdf6444efda074893dff493b9eb3648808"
"CWE-89","uaa","b384a650a122e42d75e8cbb5624d0274a65cd848"
"CWE-189","tomcat55","0314fe7743cb72e469cb395ccaaf2793a2ea0355"
"CWE-502","ignite","82a7b8209fcf56971d12cb10410a38ed632215b"
"CWE-22","spring-framework","9cef8e3001ddd61c734281a7556efd84b6cc2755"
"CWE-611","lucene-solr","4ba409e0ff3dc38aad88f7b7ad69a76325272b8"
"CWE-434","tomcat","e862b0c259b4c867553df29cef1af9e904af83b0"
"CWE-264","openjpa","b8933dc24b84e7e7430ece56bd645d425dd89f24"
"CWE-611","camel","2e8f21dec883b083ddcdddd802847b4c378a61a"
"CWE-502","ignite","340569b8f4e14a4cb61a9407ed2d9aa4a20bdf49"
"CWE-20","oozie","d50df341432df1049c6c85bf2dcda9eb0be04d73"
"CWE-399","tomcat","e28dd578fad90a6d5726ec34f3245c9f99d909a5"
"CWE-79","tomcat55","863d77c7d321245de019ac32252828e0a025c5b4"
"CWE-94","spring-framework","1db7e02de3eb0c011ee6681f5a12eb9d166fea8"
"CWE-310","bc-java","9385b0ebd277724b167fe1d1456e3c112112be1f"
"CWE-22","mojarra","1b434748d9239f42eae8aa7d37d7a0930c061e24"
"CWE-22","retrofit","b9a7f6ad72073ddd40254c0058710e87a073047d"
"CWE-611","pmd-plugin","f88399a021c22e30cb8fbac5200471d69f1b6224"
"CWE-319","wildfly","883115ea2168343e870745f538a80b1ddc360914"
"CWE-20","jenkins","566a8ddb885f0bef9bc848e60455c0aabbf0c1d3"
"CWE-502","logging-log4j2","5dcc19215827db29c993d0305ee2b0d8dd05939d"
"CWE-20","cxf-fediz","90c898335786211d253c0503453e2f8b93e0d3fe"
"CWE-200","tomcat","05c84ff8304a69a30b251f207a7b93c2c882564d"
"CWE-20","struts","b4265d369dc29d57a9f2846a85b26598e83f3892"
"CWE-20","activemq","6f03921b31d9fefeddb0f4fa63150ed1f94a14b"
"CWE-264","tomcat","79e8ad03404c131009811855f9a30d8d01c0c736"
"CWE-502","camel","5ae9c0dcc4843347cd01ffb58ce5dd0687755a1"
"CWE-399","activemq","3a71f8e33d0309cb0ca5b5758a8f251da205e757"
"CWE-264","openjpa","7f14c7df6b7c7ef42f0671138b9b5dd062fe99aa"
"CWE-502","bc-java","4092ede58da51af9a21e4825fbad0d9a3ef5a223"
"CWE-91","dom4j","e598eb43d418744c4dbf62f647dd2381c9ce9387"
"CWE-19","camel","13e43c1412ad72d99030b4eb4cb72c84fa57d5ff"
"CWE-89","ranger","da3a3233d5679284142eb2887c91a754a0da70b"
"CWE-20","cxf-fediz","90c898335786211d253c0503453e2f8b93e0d3fe"
"CWE-264","xalan-j","cbfd906cc5a1f1566fa1a98400c82e56077fae0c"
"CWE-502","tomee","58cdbbef9c77ab2b44870f9d606593b49cde76d9"
"CWE-19","camel","d853853469292cd54fd9662c3605030ab5a9566b"
"CWE-284","tomcat","fb3569fbb9a2f55459aa8e1e22bc35a737e66329"
"CWE-352_CWE-20","struts","b28b78c062f0bf3c79793a25aab8c9b6c12bce6e"
"CWE-22","tomcat","89cd0cf33a99dbbcf5c69050a83b6876e39269d7"
"CWE-287","karaf","434e52502528e91e20d2f87cec7732f1e6e554c"
"CWE-399","tomcat","b1c8477e3e3ee635d19cc4d5987c2b157431e0c1"
"CWE-863","geode","6df14c8b1e3c644f9f810149e80bba0c2f073dab"
"CWE-264","openjpa","87a4452be08b4f97274d0ccfac585ae85841e470"
"CWE-502","bc-java","4092ede58da51af9a21e4825fbad0d9a3ef5a223"
"CWE-264","tomcat","a2538ce78f83b7376c48d12d8247600079d789b1"
"CWE-755","cxf","fae6fabf9bd7647f5e9cb68897a7d72b545b741"
"CWE-79","spring-framework","75e08695a04980dbceae6789364717e9d8764d58"
"CWE-611","lucene-solr","926cc4d65b6d2cc40ff07f76d50ddeda947e3cc"
"CWE-264","hibernate-validator","e8c42b689df8c6752d635d02c6518da3fece3870"
"CWE-502","tomee","58cdbbef9c77ab2b44870f9d606593b49cde76d9"
"CWE-189","tomcat","9649a2147ce04753bb0bbe2be8e66444670c6db5"
"CWE-863","geode","740289c61d60256c6270756bc84b9e24b76e4913"
"CWE-22","wildfly-core","40996ae6d5d3b6c1602a15f96b86a8d8a39b53eb"
"CWE-20","struts","6e87474f9ad0549f07dd2c37d50a9ccd0977c6e"
"CWE-89","uaa","6bf1c0ae1abc9aaba957708e0b2dfb6a70aab826"
"CWE-310","commons-compress","6ced422bf5eca3aac05396367bafb33ec21bf74e"
"CWE-78","plexus-utils","b38a1b3a4352303e4312b2bb601a0d7ec6e28f41"
"CWE-264","elasticsearch","f5cfb2a1869d1a52930cbd3138278a6e2c1b22e6"
"CWE-203","tomcat80","dc4c3317452f0bc2c5e1f6a08d3bd9f22488b450"
"CWE-200","xstream","7c77ac0397a1f93c69d2776a13c31957f55d1647"
"CWE-352","projectforge-webapp","422de35e3c3141e418a73bfb39b430d5fd74077e"
"CWE-863","geode","954ccb545d24a9c9a35cbd84023a4d7e07032de0"
"CWE-502","camel","af3f54de35a90a5a49a4af4622e8bd1011bf5ec"
"CWE-611","lucene-solr","dd3be31f7062dcb2f3b2d7f0e89df29e197dee6"
"CWE-269","uaa","bbf6751bc0d87c4a3aaf21b54e26ce328ab998b"
"CWE-20","struts","b3bad5ea44f3fd9edb2cb491192c5900f46d45d"
"CWE-264","hibernate-validator","fd4eaed7fb930db6a5e4c03742b4b3adcfecc90e"
"CWE-19","camel","13e43c1412ad72d99030b4eb4cb72c84fa57d5ff"
"CWE-319","wildfly","883115ea2168343e870745f538a80b1ddc360914"
"CWE-89","uaa","74b9b270787aa602196d59d58893c3a6e09816f9"
"CWE-284","tomcat","1b91e91194a095ea922f96d1dccddf6fbc446e54"
"CWE-74","java-cas-client","ae37092100c8eaec610dab6d83e5e05a8ee58814"
"CWE-863","geode","aa469239860778eb46e09dd7b390aee08f152480"
"CWE-79","activemq","9dc43f3ffe85c9c56faee235a21f23bfceb865c8"
"CWE-264","camel","c6de749e9b3c7b61861c5480e91550290585224"
"CWE-470","hibernate-validator","0886e89900d343ea20fde5137c9a3086e6da9ac"
"CWE-613","uaa","9730cd6a3bbb481ee4e400b51952b537589c469d"
"CWE-79","struts","5421930b49822606792f36653b17d3d95ef106f9"
"CWE-611","WxJava","6272639f02e397fed40828a2d0da66c30264bc0e"
"CWE-502","spring-amqp","36e55998f6352ba3498be950ccab1d5f4d0ce655"
"CWE-22","storm","efad4cca2d7d461f5f8c08a0d7b51fabeb82d0a"
"CWE-22","jenkins","4ed66e5838476e575a83c3cd13fffb37eefa2f48"
"CWE-119","spring-framework","5a711c05ec750f069235597173084c2ee796242"
"CWE-22","spring-integration-extensions","d10f537283d90eabd28af57ac97f860a3913bf9b"
"CWE-200","tomcat","864aa1199ad2cccc9a7e7c6b977f7d7f812c9910"
"CWE-611","junit-plugin","15f39fc49d9f25bca872badb48e708a8bb815ea7"
"CWE-264","tomcat","f8b316acbbf9fabf87cc137e9777e912eda0d834"
"CWE-863","geode","00be4f9774e1adf8e7ccc2664da8005fc30bb11d"
"CWE-287","spring-security","7dbb8e777ece8675f3333a1ef1cb4d6b9be80395"
"CWE-78","nmap4j","06b58aa3345d2f977553685a026b93e61f0c491e"
"CWE-863","geode","49d28f93fd2ef069693ce15d124ef3a29f22fb7d"
"CWE-552","spring-framework","a95c3d820dbc4c3ae752f1b3ee22ee860b162402"
"CWE-863","geode","49d28f93fd2ef069693ce15d124ef3a29f22fb7d"
"CWE-119","spring-framework","5a711c05ec750f069235597173084c2ee796242"
"CWE-1188","tomcat","d83a76732e6804739b81d8b2056365307637b42d"
"CWE-200","email-ext-plugin","af2cc9bf649781c3c84c6891298db0d8601b193d"
"CWE-22","hadoop","fc4c20fc3469674cb584a4fb98bac7e3c2277c9"
"CWE-190_CWE-444","jetty.project","a285deea42fcab60d9edcf994e458c238a348b55"
"CWE-264","camel","483b445dc77487e2d0f3d8c8bf1a7bbab04464c"
"CWE-200","xstream","87172cfc1dd7f8f6e137963c778b03efd14ac446"
"CWE-79","syncope","b25a8834db2cc7ea45707a1218e85e047568427"
"CWE-94","spring-security-oauth","8e9792c1963f1aeea81ca618785eb8d71d1cd1d"
"CWE-352","spring-social","5151e1158e1ed51369e7aba9e8092930d28c31d3"
"CWE-611","uima-uimaj","39909bf21fd694f4fb792d1de8adc72562ead25e"
"CWE-22","tomcat","816552abf6735fa37dfd37c8a7bfbdbd045477e0"
"CWE-79","syncope","73aed0a741b1255f45893e3cada650147335073"
"CWE-295","okhttp","5377f25d9eed755328216912ef5e922c93e14f3"
"CWE-264","tomcat80","2e5cc28052e84ba45196949ba602484221bbf33c"
"CWE-399","tomcat","b1c8477e3e3ee635d19cc4d5987c2b157431e0c1"
"CWE-863","geode","6df14c8b1e3c644f9f810149e80bba0c2f073dab"
"CWE-20","activemq","e100638244c4ca5eb2a1f16bcdc671c9859c2694"
"CWE-310","commons-compress","8f702469cbf4c451b6dea349290bc4af0f6f76c7"
"CWE-22","tomcat","901292cf9d7d8225f8a3b96c7583e2bd8b41772d"
"CWE-200","jenkins","c19cc705688cfffa4fe735e0edbe84862b6c135f"
"CWE-552","spring-framework","a95c3d820dbc4c3ae752f1b3ee22ee860b162402"
"CWE-20","activemq","7eb9b218b2705cf9273e30ee2da026e43b6dd4e"
"CWE-611","lucene-solr","6d082d5743dee7e08a86b3f2ef03bc025112512"
"CWE-502","spark","9952b53b57498852cba799b47f00238e52114c7c"
"CWE-19","camel","13e43c1412ad72d99030b4eb4cb72c84fa57d5ff"
"CWE-22","jenkins","9de62915807deab61d6e780eed660428f9889b51"
"CWE-611","lucene-solr","3bba91131b5257e64b9d0a2193e1e32a145b2a2"
"CWE-89","uaa","b384a650a122e42d75e8cbb5624d0274a65cd848"
"CWE-79","tomcat","1bc3bcb2848f478fd6674487d6dad507fd5dd686"
"CWE-502","camel","adc06a78f04c8d798709a5818104abe5a8ae4b3"
"CWE-310","bc-java","9385b0ebd277724b167fe1d1456e3c112112be1f"
"CWE-434","tomcat","46dfedbc0523d7182be97f4244d7b6c942164485"
"CWE-200","tomcat","05c84ff8304a69a30b251f207a7b93c2c882564d"
"CWE-79","cxf","1f824d8039c7a42a4aa46f844e6c800e1143c7e7"
"CWE-863","geode","6df14c8b1e3c644f9f810149e80bba0c2f073dab"
"CWE-200","syncope","735579b6f987b407049ac1f1da08e675d957c3e"
"CWE-264_CWE-22","tomcat","3e1010b1a2f648581fac3d68afbf18f2979f6bf6"
"CWE-345","tomcat","9044c1672bbe4b2cf4c55028cc8b977cc62650e7"
"CWE-287","infinispan","f2d54c4ecb75c7264d4160ca7c461135712201a9"
"CWE-20","struts","4a3917176de2df7f33a85511d067f31e50dcc1b"
"CWE-502","pippo","c6b26551a82d2dd32097fcb17c13c3b830916296"
"CWE-79","syncope","b25a8834db2cc7ea45707a1218e85e047568427"
"CWE-388","tomcat","16a57bc885e212839f1d717b94b01d154a36943a"
"CWE-19","camel","7e28d0af471ea992eb74807a4abd1626b88d678a"
"CWE-200","syncope","735579b6f987b407049ac1f1da08e675d957c3e"
"CWE-94","spring-security-oauth","1c6815ac1b26fb2f079adbe283c43a7fd0885f3"
"CWE-310","bc-java","9385b0ebd277724b167fe1d1456e3c112112be1f"
"CWE-502","groovy","4df8b652aa018a5d5d1cda8fba938bf3422db31c"
