F:\Valentino\Progetti_da_buildare_2\netty2fa9400a59d0563a66908aba55c41e7285a04994\pom.xml2fa9400a59d0563a66908aba55c41e7285a04994;non trovata
F:\Valentino\Progetti_da_buildare_2\mercurial-plugin54b4f82e80c89d51b12bc64258f6b59e98b0c16a\pom.xml54b4f82e80c89d51b12bc64258f6b59e98b0c16a;non trovata
F:\Valentino\Progetti_da_buildare_2\uaaa61bfabbad22f646ecf1f00016b448b26a60daf\pom.xmla61bfabbad22f646ecf1f00016b448b26a60daf;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\struts15857a69e7baf3675804495a5954cd0756ac8364\pom.xml15857a69e7baf3675804495a5954cd0756ac8364;non trovata
F:\Valentino\Progetti_da_buildare_2\spring-amqp4150f107e60cac4a7735fcf7cb4c1889a0cbab6c\pom.xml4150f107e60cac4a7735fcf7cb4c1889a0cbab6c;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\spring-integration59c69ed40d3755ef59f80872e0ea711adbb13620\pom.xml59c69ed40d3755ef59f80872e0ea711adbb13620;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\httpcomponents-client6e14fc146a66e0f3eb362f45f95d1a58ee18886a\pom.xml6e14fc146a66e0f3eb362f45f95d1a58ee18886a;1.5
F:\Valentino\Progetti_da_buildare_2\plexus-archiver58bc24e465c0842981692adbf6d75680298989de\pom.xml58bc24e465c0842981692adbf6d75680298989de;non trovata
F:\Valentino\Progetti_da_buildare_2\tomcat8fa210147ffd98e8971cba56395726cc4a893ad7\pom.xml8fa210147ffd98e8971cba56395726cc4a893ad7;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\netty524156f164a910b8b0978d27a2c700a19cd8048\pom.xml524156f164a910b8b0978d27a2c700a19cd8048;non trovata
F:\Valentino\Progetti_da_buildare_2\uaa24bc5ade80560cedb9300940d2b398163ab0dc6\pom.xml24bc5ade80560cedb9300940d2b398163ab0dc6;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\tomcat76ebc9007567c8326217dd94844540e1e27d8468\pom.xml76ebc9007567c8326217dd94844540e1e27d8468;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\tomcat5aae1323c31d643afa9f2db80713b8e97b5123af\pom.xml5aae1323c31d643afa9f2db80713b8e97b5123af;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\netty8599ab5bdb761bb99d41a975d689f74c12e4892b\pom.xml8599ab5bdb761bb99d41a975d689f74c12e4892b;non trovata
F:\Valentino\Progetti_da_buildare_2\tomcat40e5880dfc51517334acda5f12beacdec52ca283\pom.xml40e5880dfc51517334acda5f12beacdec52ca283;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\struts6bd694b7980494c12d49ca1bf39f12aec3e03e2f\pom.xml6bd694b7980494c12d49ca1bf39f12aec3e03e2f;non trovata
F:\Valentino\Progetti_da_buildare_2\tomcat58223c5ecc0751c3642c810f291b8f033d33b97f\pom.xml58223c5ecc0751c3642c810f291b8f033d33b97f;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\struts630e1ba065a8215c4e9ac03bfb09be9d655c2b6e\pom.xml630e1ba065a8215c4e9ac03bfb09be9d655c2b6e;non trovata
F:\Valentino\Progetti_da_buildare_2\struts76eb8f38a33ad0f1f48464ee1311559c8d52dd6d\pom.xml76eb8f38a33ad0f1f48464ee1311559c8d52dd6d;non trovata
F:\Valentino\Progetti_da_buildare_2\spring-amqp36e55998f6352ba3498be950ccab1d5f4d0ce655\pom.xml36e55998f6352ba3498be950ccab1d5f4d0ce655;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\tomcata697f7b52c4e3aea0c6763b33d413b54a518e883\pom.xmla697f7b52c4e3aea0c6763b33d413b54a518e883;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\spring-frameworkedba32b3093703d5e9ed42b5b8ec23ecc1998398\pom.xmledba32b3093703d5e9ed42b5b8ec23ecc1998398;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\tomcata9dd96046d7acb0357c6b7b9e6cc70d186fae663\pom.xmla9dd96046d7acb0357c6b7b9e6cc70d186fae663;non esiste il pom
