Project;Fix Commit;Compilable;Version;Command;;;Summary;;;;Etichette di riga;Conteggio di Si/No;Conteggio % di Si/No
https://github.com/spring-projects/spring-framework;a30ab30e4e9ae021fdda04e9abfc228476b846b5;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;https://github.com/FasterXML/jackson-databind;17;3,78%
https://github.com/spring-projects/spring-framework;7576274874deeccb6da6b09a8d5bd62e8b5538b7;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;No;17;100,00%
https://github.com/spring-projects/spring-framework;e0de9126ed8cf25cf141d3e66420da94e350708;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;https://github.com/igniterealtime/Openfire;1;0,22%
https://github.com/spring-projects/spring-framework;dc5b5ca8ee09c890352f89b2dae58bc0132d6545;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;Si;1;100,00%
https://github.com/spring-projects/spring-framework;ab2410c754b67902f002bfcc0c3895bd7772d39;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;https://github.com/inversoft/prime-jwt;2;0,44%
https://github.com/spring-projects/spring-framework;044772641d12b9281185f6cf50f8485b8747132;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;Si;2;100,00%
https://github.com/spring-projects/spring-framework;a95c3d820dbc4c3ae752f1b3ee22ee860b162402;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;https://github.com/itext/itext7;1;0,22%
https://github.com/spring-projects/spring-framework;8e096aeef55287dc829484996c9330cf755891a1;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;No;1;100,00%
https://github.com/spring-projects/spring-framework;695bf2961feffd35b5560ccc982a2189dcca611;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;https://github.com/jenkinsci/depgraph-view-plugin;1;0,22%
https://github.com/junrar/junrar;ad8d0ba8e155630da8a1215cee3f253e0af45817;No;JDK 17 & gradle 5.4.1;gradle classes;;;;;;;Si;1;100,00%
https://github.com/apache/shiro;b15ab927709ca18ea4a02538be01919a19ab65af;No;JDK 17;mvn clean compile;;;;;;;https://github.com/jenkinsci/ec2-plugin;1;0,22%
https://github.com/apache/shiro;64d9f8341e1aa7ef1a29744e16ea7c578ca5deee;No;JDK 17;mvn clean compile;;;;;;;Si;1;100,00%
https://github.com/apache/shiro;9137e6cc45922b529fb776c6857647a3935471bb;No;JDK 17;mvn clean compile;;;;;;;https://github.com/jenkinsci/email-ext-plugin;1;0,22%
https://github.com/spring-projects/spring-webflow;57f2ccb66946943fbf3b3f2165eac1c8eb6b1523;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;Si;1;100,00%
https://github.com/spring-projects/spring-webflow;ec3d54d2305e6b6bce12f770fec67fe63008d45;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;https://github.com/jenkinsci/favorite-plugin;1;0,22%
https://github.com/spring-projects/spring-webflow;df0ea;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;Si;1;100,00%
https://github.com/spring-projects/spring-webflow;084b4;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;https://github.com/jenkinsci/gerrit-trigger-plugin;2;0,44%
https://github.com/spring-projects/spring-webflow;ed5e8;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;Si;2;100,00%
https://github.com/pingidentity/ldapsdk;8471904a02438c03965d21367890276bc25fa5a6;No;JDK 17;ant compile;;;;;;;https://github.com/jenkinsci/git-client-plugin;1;0,22%
https://github.com/apache/tomcat;2835bb4e030c1c741ed0847bb3b9c3822e4fbc8a;Si;JDK 17;ant compile;;;;;;;Si;1;100,00%
https://github.com/apache/tomcat;d6a9898125f34e593de426e8c7dabb0f224fc00f;No;JDK 17;ant compile;;;;;;;https://github.com/jenkinsci/git-plugin;1;0,22%
https://github.com/apache/tomcat;50311bed8d87e452ff0e69838ba312c4fe899b2d;Si;JDK 17;ant compile;;;;;;;No;1;100,00%
https://github.com/apache/tomcat;86b2e436099cb48f30dad950175c5beeeb763756;No;JDK 17;ant compile;;;;;;;https://github.com/jenkinsci/google-play-android-publisher-plugin;1;0,22%
https://github.com/apache/tomcat;3e5b0455483eed55752047073e92403bfca8d3ec;No;JDK 17;ant compile;;;;;;;Si;1;100,00%
https://github.com/apache/tomcat;9233d9d6a018be4415d4d7d6cb4fe01176adf1a8;No;JDK 17;ant compile;;;;;;;https://github.com/jenkinsci/groovy-sandbox;2;0,44%
https://github.com/apache/tomcat;ece65c1a428094b1c6c17de3d7593f64e1bb1286;No;JDK 17;ant compile;;;;;;;No;2;100,00%
https://github.com/apache/tomcat;dfa40863421d7681fed893b4256666491887e38c;No;JDK 17;ant compile;;;;;;;https://github.com/jenkinsci/junit-plugin;1;0,22%
https://github.com/apache/tomcat;a2538ce78f83b7376c48d12d8247600079d789b1;No;JDK 17;ant compile;;;;;;;No;1;100,00%
https://github.com/apache/tomcat;150bc791ac3ba40081425dd1c37a053fbb02b339;No;JDK 17;ant compile;;;;;;;https://github.com/jenkinsci/kubernetes-plugin;1;0,22%
https://github.com/apache/tomcat;639e20992a66d7a42fb59c974db91c8a0f730a1e;No;JDK 17;ant compile;;;;;;;No;1;100,00%
https://github.com/apache/tomcat;1735d7f55094c3775c7d94e4f8568336dbe1a738;No;JDK 17;ant compile;;;;;;;https://github.com/jenkinsci/mailer-plugin;1;0,22%
https://github.com/apache/tomcat;763a56b45999653ce648a18462b8a826809215b1;No;JDK 17;ant compile;;;;;;;Si;1;100,00%
https://github.com/apache/tomcat;593a2447e6ebe465585cfa07e93b5635dffa1c70;No;JDK 17;ant compile;;;;;;;https://github.com/jenkinsci/mercurial-plugin;1;0,22%
https://github.com/apache/tomcat;723ea6a5bc5e7bc49e5ef84273c3b3c164a6a4fd;No;JDK 17;ant compile;;;;;;;No;1;100,00%
https://github.com/apache/tomcat;816552abf6735fa37dfd37c8a7bfbdbd045477e0;No;JDK 17;ant compile;;;;;;;https://github.com/jenkinsci/pipeline-build-step-plugin;1;0,22%
https://github.com/apache/tomcat;e246e5fc13307da0a5d3bbf860d64d97be1c40f8;No;JDK 17;ant compile;;;;;;;No;1;100,00%
https://github.com/apache/tomcat;3e1010b1a2f648581fac3d68afbf18f2979f6bf6;No;JDK 17;ant compile;;;;;;;https://github.com/jenkinsci/promoted-builds-plugin;1;0,22%
https://github.com/apache/tomcat;40e5880dfc51517334acda5f12beacdec52ca283;No;JDK 17;ant compile;;;;;;;No;1;100,00%
https://github.com/apache/tomcat;b8cb9f5f91e9210ca107fd80f3e6acd47531daa7;No;JDK 17;ant compile;;;;;;;https://github.com/jenkinsci/ssh-agent-plugin;1;0,22%
https://github.com/apache/tomcat;5496e193a89b8b8b3177e516358df2f07ab852b3;No;JDK 17;ant compile;;;;;;;Si;1;100,00%
https://github.com/apache/tomcat;a9dd96046d7acb0357c6b7b9e6cc70d186fae663;No;JDK 17;ant compile;;;;;;;https://github.com/jenkinsci/subversion-plugin;2;0,44%
https://github.com/apache/tomcat;769477b9bc8442db3f571385fa0c3e206242cbf1;Si;JDK 17;ant compile;;;;;;;No;1;50,00%
https://github.com/apache/tomcat;cf181edc9a8c239cde704cffc3c503425bdcae2b;No;JDK 17;ant compile;;;;;;;Si;1;50,00%
https://github.com/apache/tomcat;639e20992a66d7a42fb59c974db91c8a0f730a1e;No;JDK 17;ant compile;;;;;;;https://github.com/jenkinsci/tikal-multijob-plugin;2;0,44%
https://github.com/apache/tomcat;5c8560f3054982abaa476d87ec031c439d58d66e;No;JDK 17;ant compile;;;;;;;Si;2;100,00%
https://github.com/apache/tomcat;04164c1f01b973e548d95511d417f414ca723cb8;No;JDK 17;ant compile;;;;;;;https://github.com/jhy/jsoup;1;0,22%
https://github.com/apache/tomcat;76ebc9007567c8326217dd94844540e1e27d8468;No;JDK 17;ant compile;;;;;;;No;1;100,00%
https://github.com/apache/tomcat;901292cf9d7d8225f8a3b96c7583e2bd8b41772d;No;JDK 17;ant compile;;;;;;;https://github.com/jkuhnert/ognl;1;0,22%
https://github.com/apache/tomcat;299b26af66793438c323ea6b18462fa44683080f;No;JDK 17;ant compile;;;;;;;No;1;100,00%
https://github.com/apache/tomcat;4e97b367a97a356d2f8bb9986875e20d0807d32c;No;JDK 17;ant compile;;;;;;;https://github.com/junrar/junrar;1;0,22%
https://github.com/apache/tomcat;efb860b3ff8ebcf606199b8d0d432f76898040da;Si;JDK 17;ant compile;;;;;;;No;1;100,00%
https://github.com/apache/tomcat;c1660182010b4255c21c874d69c124370a67784a;No;JDK 17;ant compile;;;;;;;https://github.com/jythontools/jython;1;0,22%
https://github.com/apache/tomcat;639e20992a66d7a42fb59c974db91c8a0f730a1e;No;JDK 17;ant compile;;;;;;;No;1;100,00%
https://github.com/apache/tomcat;864aa1199ad2cccc9a7e7c6b977f7d7f812c9910;No;JDK 17;ant compile;;;;;;;https://github.com/kawasima/struts1-forever;3;0,67%
https://github.com/apache/tomcat;913d94b289e056107e521dbab8e79cc72a62a331;Si;JDK 17;ant compile;;;;;;;No;3;100,00%
https://github.com/apache/tomcat;a697f7b52c4e3aea0c6763b33d413b54a518e883;No;JDK 17;ant compile;;;;;;;https://github.com/letonez/libpam4j;1;0,22%
https://github.com/apache/tomcat;05c84ff8304a69a30b251f207a7b93c2c882564d;No;JDK 17;ant compile;;;;;;;Si;1;100,00%
