"CWE-ID","Method-ID","Fix Commit","Parent Commit","Badness","Tool-ID","Size","Start","End"
"CWE-189","java/org/apache/tomcat/util/buf/Ascii.java$parseLong","fffd63a3bd3a5475379b7c074820a5463b7663b3","","true","TOOL ID","20","79","99"
"CWE-20","core/src/main/java/org/apache/struts2/result/PostbackResult.java$makePostbackUri","6efaf900d4ffb7be8a74065af5553bad2389f72","","true","TOOL ID","32","130","162"
"CWE-20","core/src/main/java/org/apache/struts2/result/PostbackResult.java$makePostbackUri","b3bad5ea44f3fd9edb2cb491192c5900f46d45d","1fec084542c3bfe9c6733a947b3798210f73f8e8","false","TOOL ID","31","130","161"
"NVD-CWE-noinfo","core/src/main/java/com/opensymphony/xwork2/ognl/SecurityMemberAccess.java$isAccessible","0d6442bab5b44d93c4c2e63c5335f0a331333b9","","true","TOOL ID","52","55","107"
"NVD-CWE-noinfo","core/src/main/java/com/opensymphony/xwork2/ognl/SecurityMemberAccess.java$setExcludedPackageNames","0d6442bab5b44d93c4c2e63c5335f0a331333b9","","true","TOOL ID","2","213","215"
"CWE-264","java/org/apache/catalina/Container.java$getCatalinaBase","970c23bfd24dfa1dcb86ed917e6c8b47dcfb4433","03d1f33ee8f7e6b2fb7aa86edd7a43f3a240aa42","false","TOOL ID","0","419","419"
"CWE-20","core/src/main/java/com/opensymphony/xwork2/ActionChainResult.java$execute","b3bad5ea44f3fd9edb2cb491192c5900f46d45d","","true","TOOL ID","29","203","232"
"CWE-20","core/src/main/java/com/opensymphony/xwork2/ActionChainResult.java$execute","b3bad5ea44f3fd9edb2cb491192c5900f46d45d","1fec084542c3bfe9c6733a947b3798210f73f8e8","false","TOOL ID","32","203","235"
"CWE-601","java/org/apache/catalina/servlets/DefaultServlet.java$doDirectoryRedirect","efb860b3ff8ebcf606199b8d0d432f76898040da","94155efccd19fc3338433c63cfa5430e2d1ae00a","false","TOOL ID","9","1308","1317"
"CWE-264","java/org/apache/jasper/compiler/TagPluginManager.java$init","5517c5517e8a7ddb994504f0c5c05001a376b10c","4132b15beb3d977be0c5d7e0966d477db2ec8d72","false","TOOL ID","47","61","108"
"CWE-264","test/org/apache/catalina/core/TesterContext.java$addLifecycleListener","970c23bfd24dfa1dcb86ed917e6c8b47dcfb4433","03d1f33ee8f7e6b2fb7aa86edd7a43f3a240aa42","false","TOOL ID","3","279","282"
"CWE-20","core/src/main/java/org/apache/struts2/result/PostbackResult.java$makePostbackUri","6efaf900d4ffb7be8a74065af5553bad2389f72","b3bad5ea44f3fd9edb2cb491192c5900f46d45d3","false","TOOL ID","32","130","162"
"CWE-1188","java/org/apache/catalina/filters/CorsFilter.java$handleSimpleCORS","d83a76732e6804739b81d8b2056365307637b42d","","true","TOOL ID","70","229","299"
"CWE-1188","java/org/apache/catalina/filters/CorsFilter.java$parseAndStore","d83a76732e6804739b81d8b2056365307637b42d","","true","TOOL ID","52","729","781"
"NVD-CWE-noinfo","core/src/main/java/com/opensymphony/xwork2/ognl/OgnlUtil.java$createDefaultContext","0d6442bab5b44d93c4c2e63c5335f0a331333b9","4c386c663cf094a6d40d90c56c5983e14d518c26","false","TOOL ID","12","672","684"
"CWE-20","core/src/main/java/org/apache/struts2/dispatcher/mapper/DefaultActionMapper.java$parseNameAndNamespace","6e87474f9ad0549f07dd2c37d50a9ccd0977c6e","9fcbd912bc9ba8eed1ca9bc9422daf79d8b2f6ac","false","TOOL ID","52","342","394"
"CWE-20","src/main/java/org/primeframework/jwt/JWTDecoder.java$decode","0d94dcef0133d699f21d217e922564adbb83a227","","true","TOOL ID","34","152","186"
"CWE-264","java/org/apache/catalina/security/SecurityClassLoad.java$securityClassLoad","ce70ee6b8fe437a498a375215011056702b0c481","","true","TOOL ID","18","35","53"
"CWE-755","java/org/apache/catalina/servlets/DefaultServlet.java$serveResource","4545dcce444aa619374a659cb450dbbd0be3c921","","true","TOOL ID","352","711","1063"
"CWE-20","core/src/main/java/com/opensymphony/xwork2/validator/validators/URLValidator.java$validate","554b9dddb0fbd1e581ef577dd62a7c22955ad0f6","a245226b7f1fa2a2cd94508b132f0220989c1e5b","false","TOOL ID","13","48","61"
"CWE-264","java/org/apache/catalina/servlets/DefaultServlet.java$render","913d94b289e056107e521dbab8e79cc72a62a331","970c23bfd24dfa1dcb86ed917e6c8b47dcfb4433","false","TOOL ID","11","1192","1203"
"CWE-264","java/org/apache/catalina/servlets/DefaultServlet.java$renderXml","913d94b289e056107e521dbab8e79cc72a62a331","970c23bfd24dfa1dcb86ed917e6c8b47dcfb4433","false","TOOL ID","95","1212","1307"
