F:\Valentino\Progetti_da_buildare_2\tomcat43e1c5d08f8eaf25bc5d7e706c4c52688d36b021\pom.xml43e1c5d08f8eaf25bc5d7e706c4c52688d36b021;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\prime-jwt7c9474a493e00ba184df370fc87d8f87ac00904a\pom.xml7c9474a493e00ba184df370fc87d8f87ac00904a;1.8
F:\Valentino\Progetti_da_buildare_2\libpam4j84f32f4001fc6bdcc125ccc959081de022d18b6d\pom.xml84f32f4001fc6bdcc125ccc959081de022d18b6d;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\struts4260bee634cb606be6071bce2383fddb510608aa\pom.xml4260bee634cb606be6071bce2383fddb510608aa;1.7
F:\Valentino\Progetti_da_buildare_2\strutsb3bad5ea44f3fd9edb2cb491192c5900f46d45d3\pom.xmlb3bad5ea44f3fd9edb2cb491192c5900f46d45d3;1.7
F:\Valentino\Progetti_da_buildare_2\tomcat804fec853b560598d83b50686575bfedcf43d04a\pom.xml804fec853b560598d83b50686575bfedcf43d04a;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\strutsff6148795ac52e6de5b80c01e7a1a0cc4da61857\pom.xmlff6148795ac52e6de5b80c01e7a1a0cc4da61857;1.7
F:\Valentino\Progetti_da_buildare_2\tomcatfffd63a3bd3a5475379b7c074820a5463b7663b3\pom.xmlfffd63a3bd3a5475379b7c074820a5463b7663b3;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\tomcatd71140268e3a7b66d8dd89f12673a1da329df628\pom.xmld71140268e3a7b66d8dd89f12673a1da329df628;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\strutsf487d7e7d69c767949a59f36ceb5a45d96eb32dd\pom.xmlf487d7e7d69c767949a59f36ceb5a45d96eb32dd;1.7
F:\Valentino\Progetti_da_buildare_2\struts9d47af6ffa355977b5acc713e6d1f25fac260a28\pom.xml9d47af6ffa355977b5acc713e6d1f25fac260a28;1.7
F:\Valentino\Progetti_da_buildare_2\struts637ad1c3707266c33daabb18d7754e795e6681f\pom.xml637ad1c3707266c33daabb18d7754e795e6681f;1.7
F:\Valentino\Progetti_da_buildare_2\struts0d6442bab5b44d93c4c2e63c5335f0a331333b9\pom.xml0d6442bab5b44d93c4c2e63c5335f0a331333b9;1.7
F:\Valentino\Progetti_da_buildare_2\tomcat4545dcce444aa619374a659cb450dbbd0be3c921\pom.xml4545dcce444aa619374a659cb450dbbd0be3c921;non esiste il pom
F:\Valentino\Progetti_da_buildare_2\struts418a20c0594f23764fe29ced400c1219239899a\pom.xml418a20c0594f23764fe29ced400c1219239899a;1.7
