"CWE-ID","Project-Name","Method-ID","Fix Commit","Parent Commit","Badness","Tool-ID","Size","Start","End"
"CWE-264","hibernate-validator","engine/src/main/java/org/hibernate/validator/internal/xml/MetaConstraintBuilder.java$getPayload","e8c42b689df8c6752d635d02c6518da3fece3870","1d6d3f5be47a90d9bfa8532e09018be3a927569e","true","TOOL ID","17","279","296"
"CWE-264","hibernate-validator","engine/src/main/java/org/hibernate/validator/internal/xml/MetaConstraintBuilder.java$convertStringToReturnType","e8c42b689df8c6752d635d02c6518da3fece3870","1d6d3f5be47a90d9bfa8532e09018be3a927569e","true","TOOL ID","76","189","265"
"CWE-264","hibernate-validator","engine/src/main/java/org/hibernate/validator/internal/xml/MetaConstraintBuilder.java$getAnnotationParameterType","e8c42b689df8c6752d635d02c6518da3fece3870","1d6d3f5be47a90d9bfa8532e09018be3a927569e","true","TOOL ID","6","119","125"
"CWE-264","hibernate-validator","engine/src/main/java/org/hibernate/validator/internal/xml/MetaConstraintBuilder.java$getGroups","e8c42b689df8c6752d635d02c6518da3fece3870","1d6d3f5be47a90d9bfa8532e09018be3a927569e","true","TOOL ID","10","267","277"
"CWE-264","hibernate-validator","engine/src/main/java/org/hibernate/validator/internal/xml/MetaConstraintBuilder.java$buildMetaConstraint","e8c42b689df8c6752d635d02c6518da3fece3870","1d6d3f5be47a90d9bfa8532e09018be3a927569e","true","TOOL ID","45","55","100"
"CWE-189","tomcat","java/org/apache/tomcat/util/buf/Ascii.java$parseLong","fffd63a3bd3a5475379b7c074820a5463b7663b3","","false","TOOL ID","20","79","99"
"CWE-20","tomcat","java/org/apache/catalina/connector/CoyoteAdapter.java$log","fd8a579e0e2379a84826b11700adf396e4ed2041","","false","TOOL ID","41","456","497"
"CWE-200","syncope","core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/JPAAnySearchDAO.java$parseOrderBy","7b168c142b09c3b03e39f1449211e7ddf026a14","717289bc10b6f3b204cb6d14881f530174c62359","true","TOOL ID","60","278","338"
"CWE-863","geode","geode-lucene/src/main/java/org/apache/geode/cache/lucene/internal/directory/DumpDirectoryFiles.java$optimizeForWrite","740289c61d60256c6270756bc84b9e24b76e4913","8c5aceba47ff090a0efdddbbd00fa68d05d9c634","true","TOOL ID","3","95","98"
"CWE-264","jenkins","core/src/main/java/hudson/model/AbstractProject.java$submit","b6b2a367a7976be80a799c6a49fa6c58d778b50e","ad38d8480f20ce3cbf8fec3e2003bc83efda4f7d","true","TOOL ID","59","1887","1946"
"CWE-352","jolokia","agent/core/src/main/java/org/jolokia/http/AgentServlet.java$handle","2d9b168cfbbf5a6d16fa6e8a5b34503e3dc42364","ec206b33b9ac139362dab02a3145c90ba0a2827e","true","TOOL ID","29","276","305"
"CWE-502","tomee","container/openejb-core/src/main/java/org/apache/openejb/core/rmi/BlacklistClassResolver.java$contains","58cdbbef9c77ab2b44870f9d606593b49cde76d9","5689b25ac70a243c4d838962e068856f889ea87f","true","TOOL ID","9","56","65"
"CWE-200","tomcat","java/org/apache/catalina/startup/FailedContext.java$getTldValidation","05c84ff8304a69a30b251f207a7b93c2c882564d","70dc3b279f7c99136c2c51bce8812508b4893c8b","true","TOOL ID","1","458","459"
"CWE-94","spring-security-oauth","spring-security-oauth2/src/main/java/org/springframework/security/oauth2/provider/endpoint/WhitelabelApprovalEndpoint.java$getAccessConfirmation","adb1e6d19c681f394c9513799b81b527b0cb007","","false","TOOL ID","19","25","44"
"CWE-94","spring-security-oauth","spring-security-oauth2/src/main/java/org/springframework/security/oauth2/provider/endpoint/WhitelabelApprovalEndpoint.java$createTemplate","adb1e6d19c681f394c9513799b81b527b0cb007","","false","TOOL ID","47","46","93"
"CWE-94","spring-security-oauth","spring-security-oauth2/src/main/java/org/springframework/security/oauth2/provider/endpoint/WhitelabelApprovalEndpoint.java$createScopes","adb1e6d19c681f394c9513799b81b527b0cb007","","false","TOOL ID","18","95","113"
"CWE-79","jenkins","core/src/main/java/hudson/model/Api.java$doXml","df87e12ddcfeafdba6e0de0e07b3e21f8473ece6","517da6ed389f0a606dd9bb8595bc79fc93f4331c","true","TOOL ID","96","89","185"
"CWE-264","uaa","common/src/main/java/org/cloudfoundry/identity/uaa/oauth/UaaAuthorizationRequestManager.java$createAuthorizationRequest","1368817fe4f4899c06089c940830525bc0327ee","f0b459ddf0cc4fd738a412ce6586f24586266375","true","TOOL ID","74","150","224"
"CWE-203","tomcat","java/org/apache/catalina/realm/MemoryRealm.java$authenticate","970e615c7ade6ec6c341470bbc76aa1256353737","ffa0346fba2946401630291b642f1cff66d6a2be","true","TOOL ID","30","139","169"
"CWE-20","commons-fileupload","src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java$readObject","163a6061fbc077d4b6e4787d26857c2baba495d1","","false","TOOL ID","37","654","691"
"CWE-264","tomcat","java/org/apache/catalina/session/StoreBase.java$getObjectInputStream","ff1b659dc366a2ad47cd8f7e3544c796a1b15e46","8b035e74f4249b94ce3c73df42316248353adeb4","true","TOOL ID","3","229","232"
"CWE-613","keycloak","services/src/main/java/org/keycloak/services/resources/account/AccountFormService.java$processTotpRemove","9b75b603e3a5f5ba6deff13cbb45b070bf2d2239","","false","TOOL ID","18","346","364"
"CWE-613","keycloak","services/src/main/java/org/keycloak/services/resources/account/AccountFormService.java$processSessionsLogout","9b75b603e3a5f5ba6deff13cbb45b070bf2d2239","","false","TOOL ID","29","367","396"
"CWE-613","keycloak","services/src/main/java/org/keycloak/services/resources/account/AccountFormService.java$processFederatedIdentityUpdate","9b75b603e3a5f5ba6deff13cbb45b070bf2d2239","","false","TOOL ID","95","592","687"
"CWE-284","shiro","web/src/main/java/org/apache/shiro/web/util/WebUtils.java$getContextPath","b15ab927709ca18ea4a02538be01919a19ab65af","","false","TOOL ID","11","246","257"
"CWE-470","hibernate-validator","engine/src/main/java/org/hibernate/validator/internal/engine/ValidatorImpl.java$getAccessible","0886e89900d343ea20fde5137c9a3086e6da9ac","","false","TOOL ID","33","1764","1797"
"CWE-352","jolokia","agent/jvm/src/main/java/org/jolokia/jvmagent/JolokiaHttpHandler.java$handle","2d9b168cfbbf5a6d16fa6e8a5b34503e3dc42364","","false","TOOL ID","35","155","190"
"CWE-611","lucene-solr","solr/core/src/java/org/apache/solr/schema/FileExchangeRateProvider.java$reload","e21d4937e0637c7b7949ac463f331da9a42c07f","","false","TOOL ID","49","160","209"
"CWE-22","tomcat","java/org/apache/catalina/servlets/DefaultServlet.java$serveResource","816552abf6735fa37dfd37c8a7bfbdbd045477e0","","false","TOOL ID","348","684","1032"
"CWE-22","tomcat","java/org/apache/catalina/servlets/DefaultServlet.java$getRelativePath","816552abf6735fa37dfd37c8a7bfbdbd045477e0","","false","TOOL ID","31","337","368"
"CWE-189","tomcat55","container/catalina/src/share/org/apache/catalina/connector/Request.java$getAttribute","0314fe7743cb72e469cb395ccaaf2793a2ea0355","","false","TOOL ID","47","857","904"
"CWE-189","tomcat55","container/catalina/src/share/org/apache/catalina/connector/Request.java$parseParameters","0314fe7743cb72e469cb395ccaaf2793a2ea0355","","false","TOOL ID","100","2442","2542"
"CWE-200","tomcat","java/org/apache/coyote/ajp/AjpProcessor.java$process","9eae334e9492f55a841e6eb7ab302ff11d03ab21","","false","TOOL ID","148","100","248"
"CWE-502","camel","components/camel-jacksonxml/src/main/java/org/apache/camel/component/jacksonxml/JacksonXMLDataFormat.java$unmarshal","ccf149c76bf37adc5977dc626e141a14e60b5ae","","false","TOOL ID","20","159","179"
"CWE-502","camel","components/camel-jacksonxml/src/main/java/org/apache/camel/component/jacksonxml/JacksonXMLDataFormat.java$setEnableJacksonTypeConverter","ccf149c76bf37adc5977dc626e141a14e60b5ae","","false","TOOL ID","2","327","329"
"CWE-264","uaa","server/src/main/java/org/cloudfoundry/identity/uaa/oauth/UaaTokenServices.java$createAccessToken","0ed081c9b515014a21954db0dc03a3ddbb30fac","92e16a6fa1acab045d6ca1116ff9219393c23887","true","TOOL ID","99","545","644"
"CWE-20","struts","core/src/main/java/com/opensymphony/xwork2/validator/validators/URLValidator.java$validate","554b9dddb0fbd1e581ef577dd62a7c22955ad0f6","","false","TOOL ID","13","48","61"
"CWE-91","dom4j","src/main/java/org/dom4j/Namespace.java$Namespace","e598eb43d418744c4dbf62f647dd2381c9ce9387","","false","TOOL ID","7","49","56"
"CWE-284","commons-fileupload","src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java$readObject","388e824518697c2c8f9f83fd964621d9c2f8fc4c","0a7f8af3ce8d106014e3f9f0e1099e18b1656a15","true","TOOL ID","37","655","692"
"CWE-200_CWE-434","tomcat","java/org/apache/naming/resources/FileDirContext.java$bind","07dc0ea2745f0afab6415f22b16a29f1c6de5727","f098807674b942f27216db7debae18854115b207","true","TOOL ID","16","470","486"
"CWE-200_CWE-434","tomcat","java/org/apache/naming/resources/FileDirContext.java$file","07dc0ea2745f0afab6415f22b16a29f1c6de5727","f098807674b942f27216db7debae18854115b207","true","TOOL ID","46","780","826"
"CWE-200_CWE-434","tomcat","java/org/apache/naming/resources/FileDirContext.java$unbind","07dc0ea2745f0afab6415f22b16a29f1c6de5727","f098807674b942f27216db7debae18854115b207","true","TOOL ID","14","234","248"
"CWE-200_CWE-434","tomcat","java/org/apache/naming/resources/FileDirContext.java$rename","07dc0ea2745f0afab6415f22b16a29f1c6de5727","f098807674b942f27216db7debae18854115b207","true","TOOL ID","17","262","279"
"CWE-200_CWE-434","tomcat","java/org/apache/naming/resources/FileDirContext.java$rebind","07dc0ea2745f0afab6415f22b16a29f1c6de5727","f098807674b942f27216db7debae18854115b207","true","TOOL ID","66","507","573"
"CWE-200_CWE-434","tomcat","java/org/apache/naming/resources/FileDirContext.java$createSubcontext","07dc0ea2745f0afab6415f22b16a29f1c6de5727","f098807674b942f27216db7debae18854115b207","true","TOOL ID","14","593","607"
"CWE-200_CWE-434","tomcat","java/org/apache/naming/resources/FileDirContext.java$doListBindings","07dc0ea2745f0afab6415f22b16a29f1c6de5727","f098807674b942f27216db7debae18854115b207","true","TOOL ID","11","295","306"
"CWE-200_CWE-434","tomcat","java/org/apache/naming/resources/FileDirContext.java$doLookup","07dc0ea2745f0afab6415f22b16a29f1c6de5727","f098807674b942f27216db7debae18854115b207","true","TOOL ID","19","198","217"
"CWE-200_CWE-434","tomcat","java/org/apache/naming/resources/FileDirContext.java$doGetAttributes","07dc0ea2745f0afab6415f22b16a29f1c6de5727","f098807674b942f27216db7debae18854115b207","true","TOOL ID","12","398","410"
"CWE-19","bc-java","core/src/main/java/org/bouncycastle/math/raw/Nat224.java$square","790642084c4e0cadd47352054f868cc8397e2c00","","false","TOOL ID","137","884","1021"
"CWE-19","camel","components/camel-jetty-common/src/main/java/org/apache/camel/component/jetty/CamelContinuationServlet.java$service","1b1ccbcd94860f6f1d8caf98fb59e6ab7b3940b4","ec4a48d38e7335b40efcb14979fad8144eb00acf","true","TOOL ID","159","58","217"
"CWE-470","hibernate-validator","engine/src/main/java/org/hibernate/validator/internal/util/privilegedactions/GetDeclaredField.java$run","0886e89900d343ea20fde5137c9a3086e6da9ac","2b895289915d6646cad1ade1d594d576f2ef0593","true","TOOL ID","10","30","40"
"CWE-287","spring-security","cas/src/main/java/org/springframework/security/cas/web/authentication/ServiceAuthenticationDetailsSource.java$buildDetails","2cb99f079152ac05cee5c90457c7feb3bb2de55","","false","TOOL ID","6","103","109"
"CWE-611","spring-integration","spring-integration-xml/src/main/java/org/springframework/integration/xml/xpath/XPathUtils.java$evaluate","59c69ed40d3755ef59f80872e0ea711adbb13620","","false","TOOL ID","46","90","136"
"CWE-20","oozie","core/src/main/java/org/apache/oozie/command/bundle/BundleSubmitXCommand.java$mergeDefaultConfig","d50df341432df1049c6c85bf2dcda9eb0be04d73","","false","TOOL ID","36","223","259"
"CWE-264","uaa","server/src/main/java/org/cloudfoundry/identity/uaa/oauth/UaaTokenServices.java$createAccessToken","0ed081c9b515014a21954db0dc03a3ddbb30fac","","false","TOOL ID","93","545","638"
"CWE-264","elasticsearch","src/main/java/org/elasticsearch/repositories/fs/FsRepository.java$FsRepository","f5cfb2a1869d1a52930cbd3138278a6e2c1b22e6","","false","TOOL ID","23","69","92"
"CWE-79","activemq","activemq-web-console/src/main/java/org/apache/activemq/web/controller/CreateSubscriber.java$handleRequest","9dc43f3ffe85c9c56faee235a21f23bfceb865c8","f24edca19014272b87d665b4f1abddcbfa7eef4d","true","TOOL ID","6","46","52"
"CWE-16","spring-framework","org.springframework.web/src/main/java/org/springframework/web/util/ExpressionEvaluationUtils.java$evaluate","d95cbe23ee462245c5c2482e175f7b2a921b31c","ac1ffff9db1a46fba20f45a89e48af95a0ba9429","true","TOOL ID","9","90","99"
"CWE-16","spring-framework","org.springframework.web/src/main/java/org/springframework/web/util/ExpressionEvaluationUtils.java$evaluateString","d95cbe23ee462245c5c2482e175f7b2a921b31c","ac1ffff9db1a46fba20f45a89e48af95a0ba9429","true","TOOL ID","9","109","118"
"CWE-16","spring-framework","org.springframework.web/src/main/java/org/springframework/web/util/ExpressionEvaluationUtils.java$evaluateInteger","d95cbe23ee462245c5c2482e175f7b2a921b31c","ac1ffff9db1a46fba20f45a89e48af95a0ba9429","true","TOOL ID","9","128","137"
"CWE-16","spring-framework","org.springframework.web/src/main/java/org/springframework/web/util/ExpressionEvaluationUtils.java$evaluateBoolean","d95cbe23ee462245c5c2482e175f7b2a921b31c","ac1ffff9db1a46fba20f45a89e48af95a0ba9429","true","TOOL ID","9","147","156"
"CWE-320","bc-java","core/src/main/java/org/bouncycastle/crypto/engines/IESEngine.java$processBlock","1127131c89021612c6eefa26dbe5714c194e7495","63c5f15d8a26b66cbff0503e28ac945a6899a85c","true","TOOL ID","63","381","444"
